epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1138.33,1.01687,2.34974,1.07269,0.4856,0.12257,0.11172,0.09226,1.16098,2.93074,1.13208,9.44619e-05,9.44619e-05,9.44619e-05
43,1167.22,1.00659,2.30739,1.05963,0.40729,0.14029,0.10453,0.08406,1.15117,2.91816,1.13621,9.28878e-05,9.28878e-05,9.28878e-05
44,1194.52,1.00397,2.23603,1.06025,0.42427,0.14017,0.11359,0.08855,1.15576,2.93893,1.13409,9.13137e-05,9.13137e-05,9.13137e-05
45,1221.88,0.99085,2.25171,1.0627,0.4209,0.14011,0.11974,0.09498,1.1594,2.95201,1.13305,8.97396e-05,8.97396e-05,8.97396e-05
46,1249.34,0.98619,2.21738,1.05279,0.44079,0.13511,0.10844,0.08699,1.15382,2.90518,1.13433,8.81655e-05,8.81655e-05,8.81655e-05
47,1276.16,0.98997,2.22055,1.04349,0.35782,0.16366,0.1151,0.0911,1.15643,2.95127,1.14066,8.65914e-05,8.65914e-05,8.65914e-05
48,1302.76,0.98491,2.19473,1.0459,0.3513,0.15868,0.11416,0.09511,1.15599,2.93763,1.14708,8.50173e-05,8.50173e-05,8.50173e-05
49,1329.1,0.98446,2.14272,1.04529,0.42736,0.14574,0.12118,0.09808,1.16118,2.88665,1.14082,8.34432e-05,8.34432e-05,8.34432e-05
50,1356.43,0.99301,2.18374,1.05321,0.39712,0.13262,0.11756,0.09799,1.15391,2.94851,1.13529,8.18691e-05,8.18691e-05,8.18691e-05
51,1383.46,0.93884,2.14128,1.02464,0.43339,0.14466,0.1096,0.08827,1.15377,2.92288,1.13104,8.0295e-05,8.0295e-05,8.0295e-05
52,1411.5,0.9719,2.08097,1.05337,0.41362,0.14267,0.11444,0.0926,1.14073,2.90149,1.12876,7.87209e-05,7.87209e-05,7.87209e-05
53,1438.38,0.96262,2.07276,1.04145,0.32259,0.15784,0.1125,0.09332,1.16674,2.966,1.13834,7.71468e-05,7.71468e-05,7.71468e-05
54,1464.75,0.9788,2.10006,1.04808,0.42294,0.12885,0.11347,0.09473,1.14635,2.9415,1.13251,7.55727e-05,7.55727e-05,7.55727e-05
55,1490.91,0.94435,2.03117,1.04142,0.3726,0.14276,0.14042,0.11891,1.1423,2.94942,1.12572,7.39986e-05,7.39986e-05,7.39986e-05
56,1517.23,0.96692,1.99334,1.03051,0.32888,0.15842,0.12596,0.10328,1.14753,2.93302,1.12873,7.24245e-05,7.24245e-05,7.24245e-05
57,1543.64,0.95051,2.01971,1.0364,0.34052,0.15574,0.12417,0.10207,1.16873,2.91913,1.14263,7.08504e-05,7.08504e-05,7.08504e-05
58,1570.72,0.96118,2.01105,1.03899,0.44995,0.12069,0.11775,0.09787,1.15596,2.91875,1.1375,6.92763e-05,6.92763e-05,6.92763e-05
59,1597.54,0.9578,1.98047,1.03294,0.40227,0.13887,0.12002,0.0982,1.15572,2.93471,1.13577,6.77022e-05,6.77022e-05,6.77022e-05
60,1624.05,0.93543,1.95649,1.02767,0.39278,0.15432,0.126,0.10258,1.17297,2.94791,1.15651,6.61281e-05,6.61281e-05,6.61281e-05
61,1650.84,0.93805,1.95432,1.03334,0.35476,0.16458,0.13229,0.10538,1.16494,2.93634,1.145,6.4554e-05,6.4554e-05,6.4554e-05
62,1677.56,0.93409,1.95161,1.02198,0.28509,0.16112,0.11602,0.09234,1.16591,3.00382,1.13808,6.29799e-05,6.29799e-05,6.29799e-05
63,1704.79,0.96108,1.9901,1.04982,0.39764,0.14043,0.11889,0.0972,1.16278,2.95179,1.14128,6.14058e-05,6.14058e-05,6.14058e-05
64,1731.98,0.90862,1.87368,1.01747,0.39247,0.16373,0.13168,0.1055,1.15752,2.94371,1.13345,5.98317e-05,5.98317e-05,5.98317e-05
65,1759,0.92402,1.88544,1.02662,0.37971,0.14794,0.13275,0.10686,1.15102,2.96653,1.13249,5.82576e-05,5.82576e-05,5.82576e-05
66,1785.54,0.90305,1.86669,1.02557,0.33232,0.19148,0.13351,0.11049,1.14862,2.98922,1.13322,5.66835e-05,5.66835e-05,5.66835e-05
67,1812.63,0.87889,1.8651,1.00362,0.33052,0.16685,0.12647,0.10508,1.14742,2.94658,1.12571,5.51094e-05,5.51094e-05,5.51094e-05
68,1839.63,0.92785,1.90686,1.02396,0.34309,0.16489,0.13127,0.10905,1.15347,2.97905,1.13251,5.35353e-05,5.35353e-05,5.35353e-05
69,1866.65,0.91874,1.86817,1.0202,0.3211,0.18516,0.11404,0.09211,1.1485,2.96732,1.13266,5.19612e-05,5.19612e-05,5.19612e-05
70,1892.5,0.93039,1.88827,1.02716,0.37072,0.15398,0.11727,0.09642,1.14893,2.98849,1.13095,5.03871e-05,5.03871e-05,5.03871e-05
71,1918.22,0.91684,1.79654,1.0066,0.40375,0.14236,0.12033,0.09827,1.15103,2.98214,1.13174,4.8813e-05,4.8813e-05,4.8813e-05
72,1946.39,0.91613,1.81019,1.0152,0.35265,0.1452,0.12727,0.10402,1.15457,2.95318,1.12809,4.72389e-05,4.72389e-05,4.72389e-05
73,1973.06,0.87652,1.73137,1.00762,0.35417,0.15564,0.12681,0.10482,1.15845,2.97178,1.13372,4.56648e-05,4.56648e-05,4.56648e-05
74,2000.03,0.94472,1.85651,1.02177,0.45995,0.12376,0.11813,0.09711,1.15078,2.97378,1.12593,4.40907e-05,4.40907e-05,4.40907e-05
75,2026.49,0.92419,1.80489,1.014,0.44759,0.13652,0.11846,0.09596,1.15197,2.94922,1.12919,4.25166e-05,4.25166e-05,4.25166e-05
76,2052.85,0.9067,1.74894,1.01263,0.41017,0.14914,0.12849,0.10587,1.16167,2.98541,1.13365,4.09425e-05,4.09425e-05,4.09425e-05
77,2078.82,0.90212,1.81259,1.01182,0.44417,0.12759,0.12537,0.10305,1.14498,2.96622,1.12978,3.93684e-05,3.93684e-05,3.93684e-05
78,2104.72,0.94114,1.79383,1.02321,0.32805,0.1848,0.12911,0.10612,1.15257,2.99015,1.12459,3.77943e-05,3.77943e-05,3.77943e-05
79,2131.67,0.8861,1.78212,1.01709,0.33556,0.14718,0.13471,0.10998,1.1524,2.94316,1.12656,3.62202e-05,3.62202e-05,3.62202e-05
80,2158.56,0.89342,1.68851,1.00069,0.49288,0.11491,0.12541,0.10262,1.15062,2.96934,1.13004,3.46461e-05,3.46461e-05,3.46461e-05
81,2184.9,0.91664,1.7234,1.01174,0.50755,0.10763,0.12293,0.10126,1.15259,2.96275,1.13401,3.3072e-05,3.3072e-05,3.3072e-05
82,2213.4,0.88096,1.72112,1.00968,0.41247,0.13582,0.12927,0.10758,1.15215,2.98053,1.13373,3.14979e-05,3.14979e-05,3.14979e-05
83,2240.53,0.8857,1.73471,1.00043,0.37211,0.15078,0.13522,0.11181,1.15226,2.99695,1.13379,2.99238e-05,2.99238e-05,2.99238e-05
84,2266.66,0.86168,1.6677,1.0037,0.46301,0.13626,0.12778,0.10385,1.15022,2.98258,1.13448,2.83497e-05,2.83497e-05,2.83497e-05
85,2291.51,0.90593,1.68088,1.01159,0.37553,0.15273,0.11832,0.09564,1.15929,2.98892,1.14022,2.67756e-05,2.67756e-05,2.67756e-05
86,2317.82,0.90408,1.71098,1.01543,0.36495,0.1564,0.12352,0.09724,1.14732,2.96068,1.12976,2.52015e-05,2.52015e-05,2.52015e-05
87,2344.59,0.89451,1.67979,1.00682,0.39954,0.1358,0.12231,0.09785,1.1511,2.96091,1.13212,2.36274e-05,2.36274e-05,2.36274e-05
88,2370.99,0.88137,1.64318,1.00376,0.4308,0.13888,0.12785,0.10285,1.14469,2.97421,1.13032,2.20533e-05,2.20533e-05,2.20533e-05
89,2398.01,0.87468,1.65462,1.0153,0.40063,0.13301,0.12261,0.10047,1.14831,2.97793,1.13272,2.04792e-05,2.04792e-05,2.04792e-05
90,2425.55,0.88555,1.69031,1.00385,0.46276,0.12963,0.11927,0.0971,1.15289,2.97816,1.13421,1.89051e-05,1.89051e-05,1.89051e-05
91,2453.98,0.83356,1.76604,0.97505,0.3424,0.15341,0.11519,0.09461,1.1744,2.99952,1.13563,1.7331e-05,1.7331e-05,1.7331e-05
92,2479.92,0.81508,1.75784,0.9586,0.31975,0.15324,0.11903,0.09776,1.1642,2.9933,1.1349,1.57569e-05,1.57569e-05,1.57569e-05
93,2506.38,0.8185,1.70775,0.95767,0.33207,0.15372,0.12264,0.1011,1.15667,2.97632,1.12895,1.41828e-05,1.41828e-05,1.41828e-05
94,2532.29,0.80878,1.65491,0.94789,0.42405,0.14353,0.12905,0.10522,1.15224,2.97699,1.12998,1.26087e-05,1.26087e-05,1.26087e-05
95,2558.47,0.81049,1.66083,0.96396,0.40821,0.15558,0.13223,0.10755,1.14932,2.96129,1.12867,1.10346e-05,1.10346e-05,1.10346e-05
96,2583.85,0.79881,1.68188,0.95345,0.4151,0.14742,0.1309,0.10654,1.14939,2.96064,1.12871,9.4605e-06,9.4605e-06,9.4605e-06
97,2608.89,0.8004,1.66296,0.95436,0.38746,0.1544,0.12624,0.10525,1.1495,2.96873,1.13014,7.8864e-06,7.8864e-06,7.8864e-06
98,2634.55,0.7873,1.59993,0.94338,0.39305,0.15174,0.12789,0.10657,1.14584,2.97344,1.13122,6.3123e-06,6.3123e-06,6.3123e-06
99,2660.2,0.78905,1.60386,0.94267,0.42439,0.15232,0.13055,0.10836,1.14881,2.97726,1.1314,4.7382e-06,4.7382e-06,4.7382e-06
100,2685.8,0.79583,1.59456,0.94874,0.42151,0.14689,0.12962,0.10781,1.14655,2.97603,1.12928,3.1641e-06,3.1641e-06,3.1641e-06
